id;name;url;team;position;value;growth;goals;assists;red;yellow;shots;saves;games_played;popularity;trend;index
sokratis_papastathopoulos;Sokratis Papastathopoulos;/da/premier-league-fantasy-fall-2018/players/sokratis_papastathopoulos;Arsenal;Forsvar;4524000;24.000;-;-;-;2;-;-;100%;0.016;1,6%;2
naby_keita;Naby Keita;/da/premier-league-fantasy-fall-2018/players/naby_keita;Liverpool;Midtbane;5728000;228.000;-;-;-;-;2;-;100%;0.12;12,0%;-57
ademola_lookman;Ademola Lookman;/da/premier-league-fantasy-fall-2018/players/ademola_lookman;Everton;Angreb;1997000;-3.000;-;-;-;-;-;-;25%;0.014;1,4%;14
leon_balogun;Leon Balogun;/da/premier-league-fantasy-fall-2018/players/leon_balogun;Brighton and Hove;Forsvar;2500000;-;-;-;-;1;-;-;50%;0.001;0,1%;-
divock_origi;Divock Origi;/da/premier-league-fantasy-fall-2018/players/divock_origi;Liverpool;Angreb;3980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-1
philippe_sandler;Philippe Sandler;/da/premier-league-fantasy-fall-2018/players/philippe_sandler;Manchester City;Forsvar;2480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-1
frederico_rodrigues_de_paula_santos;Fred;/da/premier-league-fantasy-fall-2018/players/frederico_rodrigues_de_paula_santos;Manchester United;Midtbane;4463000;-37.000;-;-;-;1;-;-;75%;0.069;6,9%;-75
diogo_dalot;Diogo Dalot;/da/premier-league-fantasy-fall-2018/players/diogo_dalot;Manchester United;Forsvar;3480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-1
lee_grant;Lee Grant;/da/premier-league-fantasy-fall-2018/players/lee_grant;Manchester United;Mål;3980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
fabio_henrique_tavares;Fabinho;/da/premier-league-fantasy-fall-2018/players/fabio_henrique_tavares;Liverpool;Midtbane;4480000;-20.000;-;-;-;-;-;-;0%;0.057;5,7%;-68
stephan_lichtsteiner;Stephan Lichtsteiner;/da/premier-league-fantasy-fall-2018/players/stephan_lichtsteiner;Arsenal;Forsvar;3959000;-41.000;-;-;-;-;-;-;25%;0.005;0,5%;-2
james_maddison;James Maddison;/da/premier-league-fantasy-fall-2018/players/james_maddison;Leicester City;Midtbane;4751000;251.000;1;1;-;-;2;-;100%;0.011;1,1%;15
ricardo_pereira;Ricardo Pereira;/da/premier-league-fantasy-fall-2018/players/ricardo_pereira;Leicester City;Forsvar;3178000;178.000;-;1;-;-;1;-;100%;0.042;4,2%;11
jonny_evans;Jonny Evans;/da/premier-league-fantasy-fall-2018/players/jonny_evans;Leicester City;Forsvar;2567000;67.000;-;-;-;1;-;-;25%;0.071;7,1%;-34
ben_hamer;Ben Hamer;/da/premier-league-fantasy-fall-2018/players/ben_hamer;Huddersfield;Mål;2969000;-31.000;-;-;-;-;-;10;75%;0.002;0,2%;-5
martin_dubravka;Martin Dubravka;/da/premier-league-fantasy-fall-2018/players/martin_dubravka;Newcastle;Mål;4080000;80.000;-;-;-;-;-;11;100%;0.009;0,9%;-1
sung_yueng_ki;Sung-Yueng Ki;/da/premier-league-fantasy-fall-2018/players/sung_yueng_ki;Newcastle;Midtbane;2952000;-48.000;-;-;-;-;-;-;50%;0.001;0,1%;-
vicente_guaita;Vicente Guaita;/da/premier-league-fantasy-fall-2018/players/vicente_guaita;Crystal Palace;Mål;3980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-3
david_brooks;David Brooks;/da/premier-league-fantasy-fall-2018/players/david_brooks;Bournemouth;Midtbane;2605000;105.000;-;-;-;-;1;-;75%;0.002;0,2%;1
issa_diop;Issa Diop;/da/premier-league-fantasy-fall-2018/players/issa_diop;West Ham;Forsvar;2847000;-153.000;-;-;-;1;-;-;50%;0.004;0,4%;-4
lukasz_fabianski;Lukasz Fabianski;/da/premier-league-fantasy-fall-2018/players/lukasz_fabianski;West Ham;Mål;3993000;-7.000;-;-;-;-;-;21;100%;0.026;2,6%;-19
adam_masina;Adam Masina;/da/premier-league-fantasy-fall-2018/players/adam_masina;Watford;Forsvar;2980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
marc_navarro;Marc Navarro;/da/premier-league-fantasy-fall-2018/players/marc_navarro;Watford;Forsvar;2480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-1
ben_wilmot;Ben Wilmot;/da/premier-league-fantasy-fall-2018/players/ben_wilmot;Watford;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;3
ken_sema;Ken Sema;/da/premier-league-fantasy-fall-2018/players/ken_sema;Watford;Midtbane;3103000;103.000;-;-;-;-;1;-;75%;0.002;0,2%;-1
florin_andone;Florin Andone;/da/premier-league-fantasy-fall-2018/players/florin_andone;Brighton and Hove;Angreb;2980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
jason_steele;Jason Steele;/da/premier-league-fantasy-fall-2018/players/jason_steele;Brighton and Hove;Mål;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-1
terence_kongolo;Terence Kongolo;/da/premier-league-fantasy-fall-2018/players/terence_kongolo;Huddersfield;Forsvar;2393000;-107.000;-;-;-;1;-;-;100%;0.003;0,3%;-1
ramadan_sobhi;Ramadan Sobhi;/da/premier-league-fantasy-fall-2018/players/ramadan_sobhi;Huddersfield;Midtbane;2469000;-31.000;-;-;-;-;-;-;25%;0.001;0,1%;-1
florent_hadergjonaj;Florent Hadergjonaj;/da/premier-league-fantasy-fall-2018/players/florent_hadergjonaj;Huddersfield;Forsvar;2968000;-32.000;-;-;-;1;-;-;100%;0.001;0,1%;-1
juninho_bacuna;Juninho Bacuna;/da/premier-league-fantasy-fall-2018/players/juninho_bacuna;Huddersfield;Midtbane;2480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
jonas_lossl;Jonas Lössl;/da/premier-league-fantasy-fall-2018/players/jonas_lossl;Huddersfield;Mål;3606000;106.000;-;-;-;-;-;3;50%;0.04;4,0%;2
stuart_armstrong;Stuart Armstrong;/da/premier-league-fantasy-fall-2018/players/stuart_armstrong;Southampton;Midtbane;2973000;-27.000;-;-;-;-;-;-;75%;0.002;0,2%;-
diogo_jota;Diogo Jota;/da/premier-league-fantasy-fall-2018/players/diogo_jota;Wolverhampton;Angreb;4548000;48.000;-;-;-;-;-;-;100%;0.018;1,8%;-
willy_boly;Willy Boly;/da/premier-league-fantasy-fall-2018/players/willy_boly;Wolverhampton;Forsvar;3258000;258.000;1;-;-;-;-;-;100%;0.012;1,2%;27
leo_bonatini;Leo Bonatini;/da/premier-league-fantasy-fall-2018/players/leo_bonatini;Wolverhampton;Angreb;4121000;121.000;-;1;-;-;1;-;75%;0.001;0,1%;-
raul_jimenez;Raul Jimenez;/da/premier-league-fantasy-fall-2018/players/raul_jimenez;Wolverhampton;Angreb;3703000;203.000;1;-;-;-;4;-;100%;0.012;1,2%;27
rui_patricio;Rui Patricio;/da/premier-league-fantasy-fall-2018/players/rui_patricio;Wolverhampton;Mål;4193000;193.000;-;-;-;-;-;12;100%;0.054;5,4%;36
ruben_vinagre;Ruben Vinagre;/da/premier-league-fantasy-fall-2018/players/ruben_vinagre;Wolverhampton;Forsvar;2581000;81.000;-;-;-;-;-;-;75%;0.001;0,1%;-1
bobby_reid;Bobby Reid;/da/premier-league-fantasy-fall-2018/players/bobby_reid;Cardiff;Midtbane;4496000;-4.000;-;-;-;-;1;-;100%;0.001;0,1%;-
alex_smithies;Alex Smithies;/da/premier-league-fantasy-fall-2018/players/alex_smithies;Cardiff;Mål;2980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
greg_cunningham;Greg Cunningham;/da/premier-league-fantasy-fall-2018/players/greg_cunningham;Cardiff;Forsvar;2480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
bernardo_fernandes_da_silva_junior;Bernardo Fernandes;/da/premier-league-fantasy-fall-2018/players/bernardo_fernandes_da_silva_junior;Brighton and Hove;Forsvar;2441000;-59.000;-;-;-;1;-;-;25%;0.001;0,1%;-1
ben_foster;Ben Foster;/da/premier-league-fantasy-fall-2018/players/ben_foster;Watford;Mål;3809000;309.000;-;-;-;-;-;6;100%;0.144;14,4%;52
jack_wilshere;Jack Wilshere;/da/premier-league-fantasy-fall-2018/players/jack_wilshere;West Ham;Midtbane;2866000;-134.000;-;-;-;2;1;-;100%;0.16;16,0%;-166
lucas_torreira;Lucas Torreira;/da/premier-league-fantasy-fall-2018/players/lucas_torreira;Arsenal;Midtbane;3630000;130.000;-;1;-;-;1;-;100%;0.052;5,2%;18
angus_gunn;Angus Gunn;/da/premier-league-fantasy-fall-2018/players/angus_gunn;Southampton;Mål;2980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
riyad_mahrez;Riyad Mahrez;/da/premier-league-fantasy-fall-2018/players/riyad_mahrez;Manchester City;Midtbane;7170000;170.000;-;-;-;-;1;-;100%;0.013;1,3%;2
mattao_guendouzi;Matteo Guendouzi;/da/premier-league-fantasy-fall-2018/players/mattao_guendouzi;Arsenal;Midtbane;2024000;24.000;-;-;-;1;1;-;100%;0.165;16,5%;183
jean_michael_seri;Jean Michael Seri;/da/premier-league-fantasy-fall-2018/players/jean_michael_seri;Fulham;Midtbane;3701000;201.000;1;1;-;-;1;-;100%;0.021;2,1%;-2
maxime_le_marchand;Maxime Le Marchand;/da/premier-league-fantasy-fall-2018/players/maxime_le_marchand;Fulham;Forsvar;2496000;-4.000;-;-;-;1;-;-;100%;0.009;0,9%;-15
xherdan_shaqiri;Xherdan Shaqiri;/da/premier-league-fantasy-fall-2018/players/xherdan_shaqiri;Liverpool;Midtbane;5074000;74.000;-;-;-;-;-;-;50%;0.05;5,0%;-26
jorge_luiz_frello_filho;Jorginho;/da/premier-league-fantasy-fall-2018/players/jorge_luiz_frello_filho;Chelsea;Midtbane;4359000;359.000;1;-;-;-;1;-;100%;0.252;25,2%;74
fabian_balbuena;Fabian Balbuena;/da/premier-league-fantasy-fall-2018/players/fabian_balbuena;West Ham;Forsvar;2378000;-122.000;-;-;-;1;1;-;100%;0.004;0,4%;-
felipe_anderson;Felipe Anderson;/da/premier-league-fantasy-fall-2018/players/felipe_anderson;West Ham;Angreb;4446000;-54.000;-;1;-;1;2;-;100%;0.034;3,4%;-38
david_button;David Button;/da/premier-league-fantasy-fall-2018/players/david_button;Brighton and Hove;Mål;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
yves_bissouma;Yves Bissouma;/da/premier-league-fantasy-fall-2018/players/yves_bissouma;Brighton and Hove;Midtbane;2495000;-5.000;-;-;-;-;-;-;75%;0.001;0,1%;-1
alisson_ramses_becker;Alisson Becker;/da/premier-league-fantasy-fall-2018/players/alisson_ramses_becker;Liverpool;Mål;7515000;515.000;-;-;-;-;-;12;100%;0.03;3,0%;-7
adama_diakhaby;Adama Diakhaby;/da/premier-league-fantasy-fall-2018/players/adama_diakhaby;Huddersfield;Angreb;2476000;-24.000;-;-;-;-;-;-;100%;0.002;0,2%;4
danny_ward;Danny Ward;/da/premier-league-fantasy-fall-2018/players/danny_ward;Leicester City;Mål;4480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
kepa_arrizabalaga;Kepa Arrizabalaga;/da/premier-league-fantasy-fall-2018/players/kepa_arrizabalaga;Chelsea;Mål;6414000;414.000;-;-;-;-;-;8;100%;0.03;3,0%;26
curtis_jones;Curtis Jones;/da/premier-league-fantasy-fall-2018/players/curtis_jones;Liverpool;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;1
mateo_kovacic;Mateo Kovacic;/da/premier-league-fantasy-fall-2018/players/mateo_kovacic;Chelsea;Midtbane;3611000;111.000;-;-;-;1;-;-;75%;0.055;5,5%;106
victor_camarasa;Victor Camarasa;/da/premier-league-fantasy-fall-2018/players/victor_camarasa;Cardiff;Midtbane;2582000;82.000;1;-;-;2;-;-;75%;0;0,0%;-
leander_dendoncker;Leander Dendoncker;/da/premier-league-fantasy-fall-2018/players/leander_dendoncker;Wolverhampton;Midtbane;2980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
yerry_mina;Yerry Mina;/da/premier-league-fantasy-fall-2018/players/yerry_mina;Everton;Forsvar;3480000;-20.000;-;-;-;-;-;-;0%;0.032;3,2%;-32
andre_gomes;Andre Gomes;/da/premier-league-fantasy-fall-2018/players/andre_gomes;Everton;Midtbane;2980000;-20.000;-;-;-;-;-;-;0%;0.007;0,7%;-6
bernard_duarte;Bernard Duarte;/da/premier-league-fantasy-fall-2018/players/bernard_duarte;Everton;Midtbane;3497000;-3.000;-;-;-;-;-;-;25%;0.005;0,5%;-6
sergio_rico;Sergio Rico;/da/premier-league-fantasy-fall-2018/players/sergio_rico;Fulham;Mål;3480000;-20.000;-;-;-;-;-;-;0%;0.003;0,3%;-4
andre_franck_zambo_anguissa;Andre Zambo Anguissa;/da/premier-league-fantasy-fall-2018/players/andre_franck_zambo_anguissa;Fulham;Midtbane;3059000;59.000;-;-;-;-;2;-;75%;0;0,0%;-1
carlos_alberto_sanchez_moreno;Carlos Sanchez;/da/premier-league-fantasy-fall-2018/players/carlos_alberto_sanchez_moreno;West Ham;Midtbane;2929000;-71.000;-;-;-;-;-;-;75%;0.001;0,1%;-3
luciano_vietto;Luciano Vietto;/da/premier-league-fantasy-fall-2018/players/luciano_vietto;Fulham;Angreb;4149000;149.000;-;2;-;-;-;-;75%;0.002;0,2%;-2
joseph_edward_bryan;Joe Bryan;/da/premier-league-fantasy-fall-2018/players/joseph_edward_bryan;Fulham;Forsvar;2993000;-7.000;-;-;-;-;-;-;75%;0.001;0,1%;-2
caglar_soyuncu;Caglar Soyuncu;/da/premier-league-fantasy-fall-2018/players/caglar_soyuncu;Leicester City;Forsvar;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
fernandez_federico;Federico Fernandez;/da/premier-league-fantasy-fall-2018/players/fernandez_federico;Newcastle;Forsvar;2432000;-68.000;-;-;-;1;-;-;50%;0;0,0%;2
martin_montoya;Martin Montoya;/da/premier-league-fantasy-fall-2018/players/martin_montoya;Brighton and Hove;Forsvar;3041000;41.000;-;-;-;-;-;-;75%;0.001;0,1%;-
jordan_ayew;Jordan Ayew;/da/premier-league-fantasy-fall-2018/players/jordan_ayew;Crystal Palace;Angreb;3469000;-31.000;-;-;-;-;1;-;25%;0.001;0,1%;1
isaac_mbenza;Isaac Mbenza;/da/premier-league-fantasy-fall-2018/players/isaac_mbenza;Huddersfield;Midtbane;3497000;-3.000;-;-;-;-;-;-;25%;0;0,0%;-
kurt_zouma;Kurt Zouma;/da/premier-league-fantasy-fall-2018/players/kurt_zouma;Everton;Forsvar;3516000;16.000;-;-;-;-;-;-;50%;0.004;0,4%;4
sean_longstaff;Sean Longstaff;/da/premier-league-fantasy-fall-2018/players/sean_longstaff;Newcastle;Midtbane;1990000;-10.000;-;-;-;-;-;-;0%;0;0,0%;-
dwight_mcneil;Dwight McNeil;/da/premier-league-fantasy-fall-2018/players/dwight_mcneil;Burnley;Angreb;1946000;-54.000;-;-;-;1;-;-;100%;0;0,0%;2
petr_cech;Petr Cech;/da/premier-league-fantasy-fall-2018/players/petr_cech;Arsenal;Mål;5664000;164.000;-;-;-;-;-;20;100%;0.008;0,8%;1
bernd_leno;Bernd Leno;/da/premier-league-fantasy-fall-2018/players/bernd_leno;Arsenal;Mål;5980000;-20.000;-;-;-;-;-;-;0%;0.008;0,8%;-7
damian_emiliano_martinez;Damian Emiliano Martinez;/da/premier-league-fantasy-fall-2018/players/damian_emiliano_martinez;Arsenal;Mål;4980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
hector_bellerin;Hector Bellerin;/da/premier-league-fantasy-fall-2018/players/hector_bellerin;Arsenal;Forsvar;5114000;114.000;-;1;-;1;2;-;100%;0.007;0,7%;2
laurent_koscielny;Laurent Koscielny;/da/premier-league-fantasy-fall-2018/players/laurent_koscielny;Arsenal;Forsvar;3480000;-20.000;-;-;-;-;-;-;0%;0.007;0,7%;-4
rob_holding;Rob Holding;/da/premier-league-fantasy-fall-2018/players/rob_holding;Arsenal;Forsvar;2480000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;-1
nacho_monreal;Nacho Monreal;/da/premier-league-fantasy-fall-2018/players/nacho_monreal;Arsenal;Forsvar;5743000;243.000;1;-;-;1;2;-;75%;0.002;0,2%;1
shkodran_mustafi;Shkodran Mustafi;/da/premier-league-fantasy-fall-2018/players/shkodran_mustafi;Arsenal;Forsvar;4724000;224.000;1;-;-;1;3;-;100%;0.003;0,3%;3
calum_chambers;Calum Chambers;/da/premier-league-fantasy-fall-2018/players/calum_chambers;Fulham;Forsvar;2998000;-2.000;-;-;-;-;-;-;100%;0.004;0,4%;-1
carl_jenkinson;Carl Jenkinson;/da/premier-league-fantasy-fall-2018/players/carl_jenkinson;Arsenal;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0.012;1,2%;-13
konstantinos_mavropanos;Konstantinos Mavropanos;/da/premier-league-fantasy-fall-2018/players/konstantinos_mavropanos;Arsenal;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0.005;0,5%;-5
sead_kolasinac;Sead Kolasinac;/da/premier-league-fantasy-fall-2018/players/sead_kolasinac;Arsenal;Forsvar;3980000;-20.000;-;-;-;-;-;-;0%;0.003;0,3%;-2
mohamed_elneny;Mohamed Elneny;/da/premier-league-fantasy-fall-2018/players/mohamed_elneny;Arsenal;Midtbane;2480000;-20.000;-;-;-;-;-;-;0%;0.005;0,5%;-3
henrikh_mkhitaryan;Henrikh Mkhitaryan;/da/premier-league-fantasy-fall-2018/players/henrikh_mkhitaryan;Arsenal;Midtbane;5235000;235.000;1;1;-;-;1;-;100%;0.068;6,8%;-66
aaron_ramsey;Aaron Ramsey;/da/premier-league-fantasy-fall-2018/players/aaron_ramsey;Arsenal;Midtbane;5598000;98.000;-;-;-;-;3;-;100%;0.007;0,7%;2
mesut_ozil;Mesut Özil;/da/premier-league-fantasy-fall-2018/players/mesut_ozil;Arsenal;Midtbane;4513000;13.000;-;-;-;-;-;-;75%;0.14;14,0%;7
ainsley_maitland_niles;Ainsley Maitland-Niles;/da/premier-league-fantasy-fall-2018/players/ainsley_maitland_niles;Arsenal;Midtbane;2459000;-41.000;-;-;-;-;-;-;25%;0.003;0,3%;-2
granit_xhaka;Granit Xhaka;/da/premier-league-fantasy-fall-2018/players/granit_xhaka;Arsenal;Midtbane;4072000;72.000;-;1;-;3;1;-;100%;0.009;0,9%;-1
alexandre_lacazette;Alexandre Lacazette;/da/premier-league-fantasy-fall-2018/players/alexandre_lacazette;Arsenal;Angreb;6796000;296.000;1;1;-;-;5;-;100%;0.044;4,4%;89
pierre_emerick_aubameyang;Pierre-Emerick Aubameyang;/da/premier-league-fantasy-fall-2018/players/pierre_emerick_aubameyang;Arsenal;Angreb;8684000;184.000;1;-;-;-;3;-;100%;0.071;7,1%;-3
alex_iwobi;Alex Iwobi;/da/premier-league-fantasy-fall-2018/players/alex_iwobi;Arsenal;Angreb;3670000;170.000;1;1;-;-;-;-;50%;0.022;2,2%;-64
danny_welbeck;Danny Welbeck;/da/premier-league-fantasy-fall-2018/players/danny_welbeck;Arsenal;Angreb;4184000;184.000;1;-;-;-;1;-;50%;0.007;0,7%;1
lucas_perez_martinez;Lucas Perez Martinez;/da/premier-league-fantasy-fall-2018/players/lucas_perez_martinez;West Ham;Angreb;3448000;-52.000;-;-;-;-;-;-;50%;0.002;0,2%;-3
erik_durm;Erik Durm;/da/premier-league-fantasy-fall-2018/players/erik_durm;Huddersfield;Forsvar;2497000;-3.000;-;-;-;-;-;-;25%;0.003;0,3%;-2
jannik_vestergaard;Jannik Vestergaard;/da/premier-league-fantasy-fall-2018/players/jannik_vestergaard;Southampton;Forsvar;3125000;125.000;-;-;-;1;-;-;75%;0.084;8,4%;17
robert_kenedy;Kenedy;/da/premier-league-fantasy-fall-2018/players/robert_kenedy;Newcastle;Midtbane;3949000;-51.000;-;-;-;-;1;-;75%;0.005;0,5%;-1
andriy_yarmolenko;Andriy Yarmolenko;/da/premier-league-fantasy-fall-2018/players/andriy_yarmolenko;West Ham;Angreb;4904000;-96.000;-;-;-;1;-;-;100%;0.006;0,6%;-6
artur_boruc;Artur Boruc;/da/premier-league-fantasy-fall-2018/players/artur_boruc;Bournemouth;Mål;3480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-1
aaron_ramsdale;Aaron Ramsdale;/da/premier-league-fantasy-fall-2018/players/aaron_ramsdale;Bournemouth;Mål;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
asmir_begovic;Asmir Begovic;/da/premier-league-fantasy-fall-2018/players/asmir_begovic;Bournemouth;Mål;4218000;218.000;-;-;-;-;-;9;100%;0.016;1,6%;-
simon_francis;Simon Francis;/da/premier-league-fantasy-fall-2018/players/simon_francis;Bournemouth;Forsvar;2605000;105.000;-;1;-;-;-;-;75%;0.002;0,2%;1
steve_cook;Steve Cook;/da/premier-league-fantasy-fall-2018/players/steve_cook;Bournemouth;Forsvar;2898000;398.000;1;1;-;-;2;-;100%;0.021;2,1%;9
nathan_ake;Nathan Ake;/da/premier-league-fantasy-fall-2018/players/nathan_ake;Bournemouth;Forsvar;3813000;313.000;1;-;-;-;-;-;100%;0.015;1,5%;6
charlie_daniels;Charlie Daniels;/da/premier-league-fantasy-fall-2018/players/charlie_daniels;Bournemouth;Forsvar;3147000;147.000;-;-;-;1;-;-;75%;0.005;0,5%;-2
adam_james_smith;Adam Smith;/da/premier-league-fantasy-fall-2018/players/adam_james_smith;Bournemouth;Forsvar;2594000;94.000;-;-;1;-;-;-;100%;0.002;0,2%;-
tyrone_mings;Tyrone Mings;/da/premier-league-fantasy-fall-2018/players/tyrone_mings;Bournemouth;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;-
jack_simpson;Jack Simpson;/da/premier-league-fantasy-fall-2018/players/jack_simpson;Bournemouth;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
dan_gosling;Dan Gosling;/da/premier-league-fantasy-fall-2018/players/dan_gosling;Bournemouth;Midtbane;2558000;58.000;-;-;-;2;-;-;100%;0.008;0,8%;2
